variant,avg_$,avg_R,avg_loss_$,avg_win_$,days,direction,eod_flat_%,exit_mode,expectancy_$/trade,max_dd_$,net_$,profit_factor,risk_$,sd_$,side,stop_pts,stopped_%,t_stat,trades,trigger,win_rate_%
new_core_approach:[from_above]reject/fixed_1r/$50,-18.43,-0.369,-55.94,42.52,15,reject,4.8,fixed_1r,-18.43,-414.64,-387.08,0.47,50.0,48.0,from_above,5.0,57.1,-1.76,21,new_core_approach,38.1
new_core_approach:[from_above]reject/fixed_1r/$100,-14.5,-0.145,-84.77,79.19,15,reject,28.6,fixed_1r,-14.5,-364.88,-304.58,0.7,100.0,86.35,from_above,10.0,38.1,-0.77,21,new_core_approach,42.9
new_core_approach:[from_above]reject/fixed_1r/$150,-4.98,-0.033,-106.73,108.08,15,reject,42.1,fixed_1r,-4.98,-464.92,-94.62,0.91,150.0,118.73,from_above,15.0,26.3,-0.18,19,new_core_approach,47.4
new_core_approach:[from_above]reject/fixed_1r/$250,-3.42,-0.014,-131.65,161.45,15,reject,50.0,fixed_1r,-3.42,-664.92,-54.68,0.95,250.0,173.35,from_above,25.0,18.8,-0.08,16,new_core_approach,43.8
new_core_approach:[from_above]reject/fixed_2r/$50,-16.29,-0.326,-56.15,83.35,15,reject,9.5,fixed_2r,-16.29,-342.08,-342.08,0.59,50.0,64.1,from_above,5.0,66.7,-1.16,21,new_core_approach,28.6
new_core_approach:[from_above]reject/fixed_2r/$100,-9.32,-0.093,-84.77,120.02,15,reject,36.8,fixed_2r,-9.32,-457.4,-177.12,0.83,100.0,110.0,from_above,10.0,42.1,-0.37,19,new_core_approach,36.8
new_core_approach:[from_above]reject/fixed_2r/$150,-21.3,-0.142,-106.73,100.73,15,reject,64.7,fixed_2r,-21.3,-469.8,-362.16,0.66,150.0,116.47,from_above,15.0,29.4,-0.75,17,new_core_approach,41.2
new_core_approach:[from_above]reject/fixed_2r/$250,-38.81,-0.155,-131.65,100.44,15,reject,73.3,fixed_2r,-38.81,-684.8,-582.2,0.51,250.0,140.12,from_above,25.0,20.0,-1.07,15,new_core_approach,40.0
new_core_approach:[from_above]reject/fixed_3r/$50,-18.19,-0.364,-56.23,103.52,15,reject,14.3,fixed_3r,-18.19,-387.24,-382.08,0.58,50.0,70.75,from_above,5.0,71.4,-1.18,21,new_core_approach,23.8
new_core_approach:[from_above]reject/fixed_3r/$100,-16.03,-0.16,-84.77,101.81,15,reject,52.6,fixed_3r,-16.03,-457.4,-304.62,0.7,100.0,99.53,from_above,10.0,42.1,-0.7,19,new_core_approach,36.8
